week,dates,channel,product,topic,goal,format,rationale,Rationale
1,2025-09-29–2025-10-05,Instagram,IMMUNOCOMPLEX,Reels: 3 признака/лайфхак,Осведомленность,Пост,"Неделя 1 (Q4-2025): фокус на сезонности Q4 — иммунитет, энергия, подготовка к праздникам. Связка каналов: соцсети → сайт/FAQ → email, плюс Inside/Talk/Pulse для экспертности. Формулировки осторожные: «поддерживает/способствует».",
1,2025-09-29–2025-10-05,Site,IMMUNOCOMPLEX_KIDS,FAQ по продукту,Доверие,Статья,"Неделя 1 (Q4-2025): фокус на сезонности Q4 — иммунитет, энергия, подготовка к праздникам. Связка каналов: соцсети → сайт/FAQ → email, плюс Inside/Talk/Pulse для экспертности. Формулировки осторожные: «поддерживает/способствует».",
1,2025-09-29–2025-10-05,Email,BIFOLAK_ZINCUM_C_D3,Ремайндер + промокод,Лояльность,Рассылка,"Неделя 1 (Q4-2025): фокус на сезонности Q4 — иммунитет, энергия, подготовка к праздникам. Связка каналов: соцсети → сайт/FAQ → email, плюс Inside/Talk/Pulse для экспертности. Формулировки осторожные: «поддерживает/способствует».",
1,2025-09-29–2025-10-05,Partners,BIFOLAK_MAGNIY,Совместная полка: POS и QR,Продажи,POS,"Неделя 1 (Q4-2025): фокус на сезонности Q4 — иммунитет, энергия, подготовка к праздникам. Связка каналов: соцсети → сайт/FAQ → email, плюс Inside/Talk/Pulse для экспертности. Формулировки осторожные: «поддерживает/способствует».",
1,2025-09-29–2025-10-05,Youtube,DERMACOMPLEX,Biotact Inside: 5 минут простым языком,Осведомленность,Видео,"Неделя 1 (Q4-2025): фокус на сезонности Q4 — иммунитет, энергия, подготовка к праздникам. Связка каналов: соцсети → сайт/FAQ → email, плюс Inside/Talk/Pulse для экспертности. Формулировки осторожные: «поддерживает/способствует».",
2,2025-10-06–2025-10-12,Site,IMMUNOCOMPLEX_KIDS,FAQ по продукту,Доверие,Статья,"Неделя 2 (Q4-2025): фокус на сезонности Q4 — иммунитет, энергия, подготовка к праздникам. Связка каналов: соцсети → сайт/FAQ → email, плюс Inside/Talk/Pulse для экспертности. Формулировки осторожные: «поддерживает/способствует».",
2,2025-10-06–2025-10-12,Email,BIFOLAK_ZINCUM_C_D3,Ремайндер + промокод,Лояльность,Рассылка,"Неделя 2 (Q4-2025): фокус на сезонности Q4 — иммунитет, энергия, подготовка к праздникам. Связка каналов: соцсети → сайт/FAQ → email, плюс Inside/Talk/Pulse для экспертности. Формулировки осторожные: «поддерживает/способствует».",
2,2025-10-06–2025-10-12,Partners,BIFOLAK_MAGNIY,Совместная полка: POS и QR,Продажи,POS,"Неделя 2 (Q4-2025): фокус на сезонности Q4 — иммунитет, энергия, подготовка к праздникам. Связка каналов: соцсети → сайт/FAQ → email, плюс Inside/Talk/Pulse для экспертности. Формулировки осторожные: «поддерживает/способствует».",
2,2025-10-06–2025-10-12,Youtube,DERMACOMPLEX,Biotact Inside: 5 минут простым языком,Осведомленность,Видео,"Неделя 2 (Q4-2025): фокус на сезонности Q4 — иммунитет, энергия, подготовка к праздникам. Связка каналов: соцсети → сайт/FAQ → email, плюс Inside/Talk/Pulse для экспертности. Формулировки осторожные: «поддерживает/способствует».",
2,2025-10-06–2025-10-12,Podcast,OPHTALMOCOMPLEX,Q&A с экспертом (10 мин),Доверие,Выпуск 10–12 мин,"Неделя 2 (Q4-2025): фокус на сезонности Q4 — иммунитет, энергия, подготовка к праздникам. Связка каналов: соцсети → сайт/FAQ → email, плюс Inside/Talk/Pulse для экспертности. Формулировки осторожные: «поддерживает/способствует».",
3,2025-10-13–2025-10-19,Email,BIFOLAK_ZINCUM_C_D3,Ремайндер + промокод,Лояльность,Рассылка,"Неделя 3 (Q4-2025): фокус на сезонности Q4 — иммунитет, энергия, подготовка к праздникам. Связка каналов: соцсети → сайт/FAQ → email, плюс Inside/Talk/Pulse для экспертности. Формулировки осторожные: «поддерживает/способствует».",
3,2025-10-13–2025-10-19,Partners,BIFOLAK_MAGNIY,Совместная полка: POS и QR,Продажи,POS,"Неделя 3 (Q4-2025): фокус на сезонности Q4 — иммунитет, энергия, подготовка к праздникам. Связка каналов: соцсети → сайт/FAQ → email, плюс Inside/Talk/Pulse для экспертности. Формулировки осторожные: «поддерживает/способствует».",
3,2025-10-13–2025-10-19,Youtube,DERMACOMPLEX,Biotact Inside: 5 минут простым языком,Осведомленность,Видео,"Неделя 3 (Q4-2025): фокус на сезонности Q4 — иммунитет, энергия, подготовка к праздникам. Связка каналов: соцсети → сайт/FAQ → email, плюс Inside/Talk/Pulse для экспертности. Формулировки осторожные: «поддерживает/способствует».",
3,2025-10-13–2025-10-19,Podcast,OPHTALMOCOMPLEX,Q&A с экспертом (10 мин),Доверие,Выпуск 10–12 мин,"Неделя 3 (Q4-2025): фокус на сезонности Q4 — иммунитет, энергия, подготовка к праздникам. Связка каналов: соцсети → сайт/FAQ → email, плюс Inside/Talk/Pulse для экспертности. Формулировки осторожные: «поддерживает/способствует».",
