week,start,end,channel,topic,product,goal,format,rationale,Rationale
1,2025-09-29,2025-10-05,Instagram,Reels: 3 признака/лайфхак,IMMUNOCOMPLEX_KIDS,Осведомленность,Reels,"В Q4, когда начинается сезон праздников, акцент на укрепление иммунитета и поддержание энергии становится особенно актуальным. В это время года люди ищут способы сохранить здоровье и благополучие, что делает контент о продуктах, таких как IMMUNOCOMPLEX_KIDS и BIFOLAK, особенно востребованным. Использование разнообразных форматов, таких как Reels и чек-листы, способствует вовлечению аудитории и формированию доверия к …",
1,2025-09-29,2025-10-05,Site,Гайд/Чек-лист,BIFOLAK_ZINCUM_C_D3,Доверие,Статья,"В Q4, когда начинается сезон праздников, акцент на укрепление иммунитета и поддержание энергии становится особенно актуальным. В это время года люди ищут способы сохранить здоровье и благополучие, что делает контент о продуктах, таких как IMMUNOCOMPLEX_KIDS и BIFOLAK, особенно востребованным. Использование разнообразных форматов, таких как Reels и чек-листы, способствует вовлечению аудитории и формированию доверия к …",
1,2025-09-29,2025-10-05,Email,Персонализированная рассылка + bundle,BIFOLAK_MAGNIY,Осведомленность,Рассылка,"В Q4, когда начинается сезон праздников, акцент на укрепление иммунитета и поддержание энергии становится особенно актуальным. В это время года люди ищут способы сохранить здоровье и благополучие, что делает контент о продуктах, таких как IMMUNOCOMPLEX_KIDS и BIFOLAK, особенно востребованным. Использование разнообразных форматов, таких как Reels и чек-листы, способствует вовлечению аудитории и формированию доверия к …",
1,2025-09-29,2025-10-05,Partners,POS-видео/плакат + QR,OPHTALMOCOMPLEX,Продажи,POS,"В Q4, когда начинается сезон праздников, акцент на укрепление иммунитета и поддержание энергии становится особенно актуальным. В это время года люди ищут способы сохранить здоровье и благополучие, что делает контент о продуктах, таких как IMMUNOCOMPLEX_KIDS и BIFOLAK, особенно востребованным. Использование разнообразных форматов, таких как Reels и чек-листы, способствует вовлечению аудитории и формированию доверия к …",
1,2025-09-29,2025-10-05,Instagram,Reels: 3 признака/лайфхак,CALCIY_TRIACTIVE_D3,Осведомленность,Reels,"В Q4, когда начинается сезон праздников, акцент на укрепление иммунитета и поддержание энергии становится особенно актуальным. В это время года люди ищут способы сохранить здоровье и благополучие, что делает контент о продуктах, таких как IMMUNOCOMPLEX_KIDS и BIFOLAK, особенно востребованным. Использование разнообразных форматов, таких как Reels и чек-листы, способствует вовлечению аудитории и формированию доверия к …",
2,2025-10-06,2025-10-12,Site,Гайд/Чек-лист,BIFOLAK_ZINCUM_C_D3,Осведомленность,Статья,"В Q4, когда наступает сезон праздников и люди активно заботятся о своем здоровье, фокус на иммунитете и энергии становится особенно актуальным. Запуск гайдов и чек-листов, таких как BIFOLAK_ZINCUM_C_D3 и DERMACOMPLEX, направлен на повышение осведомленности о важности поддержания здоровья в этот период. Персонализированные рассылки с предложениями на продукты, такие как BIFOLAK_MAGNIY и OPHTALMOCOMPLEX, помогут увелич…",
2,2025-10-06,2025-10-12,Email,Персонализированная рассылка + bundle,BIFOLAK_MAGNIY,Продажи,Рассылка,"В Q4, когда наступает сезон праздников и люди активно заботятся о своем здоровье, фокус на иммунитете и энергии становится особенно актуальным. Запуск гайдов и чек-листов, таких как BIFOLAK_ZINCUM_C_D3 и DERMACOMPLEX, направлен на повышение осведомленности о важности поддержания здоровья в этот период. Персонализированные рассылки с предложениями на продукты, такие как BIFOLAK_MAGNIY и OPHTALMOCOMPLEX, помогут увелич…",
2,2025-10-06,2025-10-12,Email,Персонализированная рассылка + bundle,OPHTALMOCOMPLEX,Лояльность,Рассылка,"В Q4, когда наступает сезон праздников и люди активно заботятся о своем здоровье, фокус на иммунитете и энергии становится особенно актуальным. Запуск гайдов и чек-листов, таких как BIFOLAK_ZINCUM_C_D3 и DERMACOMPLEX, направлен на повышение осведомленности о важности поддержания здоровья в этот период. Персонализированные рассылки с предложениями на продукты, такие как BIFOLAK_MAGNIY и OPHTALMOCOMPLEX, помогут увелич…",
2,2025-10-06,2025-10-12,Podcast,Inside Talk: мини-выпуск 10–12 мин,CALCIY_TRIACTIVE_D3,Продажи,Выпуск 10–12 мин,"В Q4, когда наступает сезон праздников и люди активно заботятся о своем здоровье, фокус на иммунитете и энергии становится особенно актуальным. Запуск гайдов и чек-листов, таких как BIFOLAK_ZINCUM_C_D3 и DERMACOMPLEX, направлен на повышение осведомленности о важности поддержания здоровья в этот период. Персонализированные рассылки с предложениями на продукты, такие как BIFOLAK_MAGNIY и OPHTALMOCOMPLEX, помогут увелич…",
2,2025-10-06,2025-10-12,Site,Гайд/Чек-лист,DERMACOMPLEX,Доверие,Статья,"В Q4, когда наступает сезон праздников и люди активно заботятся о своем здоровье, фокус на иммунитете и энергии становится особенно актуальным. Запуск гайдов и чек-листов, таких как BIFOLAK_ZINCUM_C_D3 и DERMACOMPLEX, направлен на повышение осведомленности о важности поддержания здоровья в этот период. Персонализированные рассылки с предложениями на продукты, такие как BIFOLAK_MAGNIY и OPHTALMOCOMPLEX, помогут увелич…",
